accX,accY,accZ,gyrX,gyrY,gyrZ,lat,lon,altitude
2.3970001,-0.54000002,9.5710506,-0.00055,-0.003025,0.0037125,,,
2.3760002,-0.52995002,9.5710506,0.0028875,-0.00275,-0.0042625,,,
2.38995,-0.52995002,9.5680504,0.0020625,0.0011,-0.00275,,,
2.3850002,-0.52500004,9.5640001,-0.0017875,-0.0044,0.0026125,,,
2.32095,-0.80100006,9.5800505,0.0012375,-0.0031625,0.00385,,,
2.22,-0.43395001,9.7099504,0.00275,-0.0042625,-0.00385,,,
2.1289501,-0.39795002,9.6120005,0.0045375,-0.00495,-0.0048125,,,
2.079,-0.15705001,9.8530502,-0.00096249999,0.0012375,0.00055,,,
2.0670002,-0.303,9.6709509,-0.00385,0.0026125,0.0026125,,,
2.01405,-0.29805002,9.6469507,-0.00385,0.0033,0.0023375,,,
2.529,-0.56100005,9.5209503,0.0045375,0.0045375,0.00165,,,
2.5890002,-0.50400001,9.5010004,0.004675,-0.00055,0.0033,,,
2.9340003,-0.88695002,9.6139507,0.00495,0.0042625,0.0001375,,,
2.62695,-0.69300002,9.4990501,-0.0034375,-0.001375,0.0037125,,,
2.59095,-0.62295002,9.4990501,0.0034375,-0.0023375,0.003025,,,
2.5840502,-0.73395002,9.4750509,-0.00275,0.0004125,-0.0039875,,,
2.8450501,-0.56805003,9.5010004,0.00495,-0.0039875,0.003025,,,
2.6389501,-0.57795,9.4939508,0.0037125,0.000275,-0.0001375,,,
2.4090002,-0.42705002,9.5470505,-0.000825,-0.0044,0.00096249999,,,
2.5240502,-0.40800002,9.5560503,0.0042625,-0.0039875,0.00495,,,
2.52195,-0.43695003,9.5280008,-0.003575,-0.00495,-0.0045375,,,
2.59095,-0.45105001,9.5209503,-0.0039875,0.0031625,-0.00495,,,
2.5360501,-0.42705002,9.5610008,0.000825,0.0034375,0.0044,,,
2.5510502,-0.35295001,9.5040007,-0.00165,-0.00165,0.0026125,,,
2.5789502,-0.40800002,9.5299501,-0.00096249999,0.0048125,-0.002475,,,
2.7280502,-0.57795,9.4770002,0.0006875,-0.00275,0.0031625,,,
2.7420001,-0.55395001,9.4609509,-0.003575,-0.0011,-0.0033,,,
2.5080001,-0.73095006,9.4990501,0.0023375,-0.00055,-0.00165,,,
2.424,-0.72600001,9.5539503,0.0023375,0.000275,0.00055,,,
2.4310501,-0.55905002,9.5539503,0.0015125,0.0020625,-0.0031625,,,
2.62995,-0.60900003,9.5179501,0.0012375,0.003025,-0.0026125,,,
-0.027000001,0.34305,9.9160509,-0.0031625,1.3954875,0.0020625,,,
-4.8180003,4.6620002,6.7579503,-0.00275,-0.00275,0.0042625,,,
4.36095,2.4000001,8.8740005,0.0006875,0.0022,0.0042625,,,
4.0879502,2.9929502,8.7619505,0.001925,-0.003575,0.0022,,,
2.2300501,-0.043950003,9.6310501,0.00055,-0.00055,-0.0048125,,,
2.0620501,-0.14895001,9.6619501,-0.0017875,-0.0028875,-0.000825,,,
2.6250002,-0.088950001,9.6349506,0.003025,-0.00385,-0.000825,,,
2.4139502,-0.30000001,9.5539503,0.00165,0.0031625,-0.0023375,,,
2.5120502,-0.23295002,9.5880003,-0.0012375,0.00055,0.00096249999,,,
2.52195,-0.23805001,9.5680504,0.0045375,0.0039875,0.0011,,,
2.35695,-0.35805002,9.6670504,0.004125,0.0017875,0.0028875,,,
2.3040001,-0.11100001,9.5800505,-0.0028875,0.0034375,0.00165,,,
2.4499502,-0.21195,9.5880003,-0.003575,0.0026125,0.000275,,,
2.4169502,-0.20700002,9.6139507,0.0023375,0.001925,-0.0001375,,,
2.5170002,-0.32895002,9.5899506,-0.0034375,0.00055,-0.003575,,,
2.9460001,0.067950003,9.6640501,0.47918749,-0.4659875,-0.15358751,,,
2.6179502,-0.72405005,9.8800507,-0.0045375,0.00275,-0.0020625,,,
6.9490504,5.0190001,8.5720501,0.26949999,-0.1771,-0.93321252,,,
-0.079950005,0.66600001,10.708051,0.0023375,0.0033,0.1419,,,
3.1320002,2.3680501,7.8420005,-0.47643751,-0.1780625,-0.0022,,,
2.90295,0.28500003,10.476001,-0.002475,1.073325,-0.00055,,,
-1.0330501,1.4830501,10.927951,-0.0031625,-0.52126253,0.0026125,,,
-0.69300002,-0.97500002,10.033051,-0.00055,0.27981248,0.0042625,,,
-0.76905006,-1.5979501,10.998,-0.00275,-0.34361249,-0.001375,,,
-1.095,-1.50195,9.3120003,0.0033,0.00275,0.0033,,,
0.72600001,-2.2969501,10.92105,0.18108749,0.0020625,-0.00096249999,,,
0.71205002,1.7670001,9.2310009,0.001375,-0.0006875,0.00165,,,
2.0620501,-1.14495,9.03195,0.104775,0.0020625,0.1651375,,,
1.53795,-1.69095,10.258051,-0.0004125,-0.2052875,-0.00096249999,,,
0.156,-1.488,9.5950508,0.0011,-0.000275,0.0022,,,
-0.537,-1.215,9.9660006,-0.0022,0.0023375,-0.0020625,,,
-0.74505001,-1.674,9.1759501,0.00096249999,0.000825,-0.0015125,,,
0.34095001,-0.89205003,10.12395,0.0044,0.003575,-0.004125,,,
-0.73095006,-1.7029501,10.033051,-0.0033,-0.0011,-0.0042625,,,
1.1740501,0.0049500004,7.1209502,0.1067,0.00495,0.0045375,,,
0.015000001,0.51495004,9.1249504,-0.47973749,-0.1133,-0.0045375,,,
3.2190001,4.0780501,5.6989503,2.0136874,-1.03895,0.63690001,,,
2.7090001,4.3320003,11.37405,-0.36258751,0.444125,-0.20336249,,,
-3.3670502,-0.23805001,7.1650505,0.41841251,0.68351251,0.31845,,,
2.5530002,-1.2790501,13.384951,0.091574997,0.0033,0.20226251,,,
-0.54405004,0.48705003,10.914001,-0.0045375,-0.001925,0.0031625,,,
3.9370501,-0.90105003,2.6899502,0.002475,-1.0570999,-0.14382499,,,
1.5139501,-0.58005005,10.11705,0.0022,-0.0034375,-0.0048125,,,
0.53505003,-1.212,9.8460007,-0.0031625,0.0031625,-0.00495,,,
0.16395001,-1.59105,9.7120504,-0.0048125,-0.004675,-0.0042625,,,
0.11100001,-1.7029501,10.014001,0.0031625,-0.00096249999,0.003575,,,
-2.6989501,-2.28705,11.280001,0.0037125,-0.8138625,-0.0028875,,,
-0.26205,-3.6859503,8.8600502,-0.0042625,-0.0037125,-0.001925,,,
-0.18495001,-3.6019502,8.9200506,0.00275,-0.00275,0.004125,,,
-0.14205001,-4.0110002,9.03405,0.003025,-0.004675,-0.0020625,,,
-0.324,-3.1759501,9.6670504,0.0042625,0.0042625,-0.004675,,,
-0.067950003,-1.488,9.6160507,-0.0015125,0.0048125,-0.00096249999,,,
5.1649504,-3.2929502,9.3720007,0.089100003,-0.30662501,0.00275,,,
0.51105005,2.28195,8.9790001,-0.00385,-0.287925,-0.00055,,,
-1.23405,2.3329501,10.90005,0.00096249999,-0.0023375,-0.00165,,,
-1.416,3.0799501,8.3310003,-0.004125,-0.0031625,0.0020625,,,
-1.3219501,2.7610502,9.8959503,0.0012375,-0.0026125,0.00165,,,
-0.15405001,3.6589501,9.066,0.0037125,-0.0045375,0.0033,,,
-0.95400006,3.6109502,9.2929506,0.0044,0.32133749,-0.1472625,,,
-0.98205006,2.8570502,9.8869505,0.3887125,0.36643749,0.00275,,,
-1.21905,2.04495,8.2279501,0.29521251,-0.0044,0.000275,,,
-1.8829501,2.5170002,8.4240007,0.0045375,-0.000275,0.00385,,,
-1.9180501,2.00895,10.18095,0.00165,0.0031625,0.001925,,,
-1.9590001,1.9710001,9.4870501,0.003575,-0.004675,0.00165,,,
-1.9540501,1.8270001,9.5590506,-0.00495,0.0034375,0.004675,,,
-0.95400006,3.4939501,8.69205,0.36478749,0.14300001,0.0011,,,
-0.95400006,3.9750001,9.5089502,0.00096249999,-0.003575,0.0,,,
-0.13695,3.5340002,9.1020002,0.001925,0.0037125,0.0044,,,
-1.1880001,3.5989501,9.0559502,0.0011,0.1265,-0.0001375,,,
-2.2390501,1.5619501,10.263,-0.0045375,0.0028875,0.00495,,,
-2.0550001,0.61605,9.00105,-0.00495,0.000275,-0.0039875,,,
-3.3240001,3.0289502,8.65905,-0.1005125,-0.59881252,-0.0011,,,
4.4880004,0.67605001,8.2300501,-0.0042625,-0.2877875,-0.0026125,,,
3.1039503,0.37200001,7.7820005,0.40810001,0.000275,-0.0034375,,,
-4.7989502,1.0540501,8.8980007,0.0033,0.003025,-0.0031625,,,
0.83595002,-0.89400005,10.240951,-0.1288375,0.00495,-0.0031625,,,
1.21905,-0.89205003,10.081051,0.0026125,0.099412501,0.00096249999,,,
0.051000003,-1.38495,10.27005,-0.003575,-0.0020625,-0.0034375,,,
-0.54405004,2.0209501,11.103001,-0.0017875,-0.0001375,-0.0011,,,
1.5690001,3.5269501,8.2920008,0.087862499,-0.091437496,0.0026125,,,
2.6010001,3.7429502,8.7640505,-0.0028875,-0.00165,-0.001925,,,
2.0410502,2.8380001,8.9890509,0.117425,0.0026125,0.0020625,,,
2.4720001,2.3040001,9.1690502,0.0004125,0.0,0.00165,,,
2.4859502,2.6700001,9.585,-0.0031625,-0.0012375,-0.004125,,,
1.6720501,3.4939501,9.0799503,-0.0020625,0.0012375,-0.00055,,,
1.50195,3.4360502,9.1159506,0.0045375,-0.0020625,-0.00165,,,
1.19805,3.4000502,8.9749508,-0.003575,-0.0044,0.0020625,,,
1.06095,3.2830501,9.3190508,0.0004125,-0.0048125,0.000825,,,
0.90600002,2.4760501,9.5920506,-0.0023375,0.0037125,-0.000275,,,
0.60195005,2.83095,9.5010004,0.0042625,-0.0045375,0.0023375,,,
0.28605002,2.4859502,9.3550501,-0.00275,0.0048125,-0.0001375,,,
0.71400005,2.424,9.717,0.0012375,0.0004125,-0.0012375,,,
-2.187,0.87195003,10.584001,-0.099687502,-0.1566125,0.0011,,,
1.6459501,-1.2580501,10.30605,-0.4307875,-0.0037125,-0.21065,,,
0.37695003,0.333,9.8800507,0.0045375,0.0023375,0.0012375,,,
0.38100001,0.23505001,9.8839502,0.0023375,0.001925,-0.0044,,,
0.36900002,0.32100001,9.8749504,-0.0042625,0.0031625,0.00495,,,
0.28995001,0.25695002,9.9010506,-0.0022,0.0037125,-0.0001375,,,
0.36195001,0.31905001,9.8920507,-0.0011,0.000275,0.0044,,,
0.384,0.34500003,9.9420004,0.0020625,0.0012375,0.00385,,,
0.30000001,0.28095001,9.8749504,0.0004125,0.0001375,-0.0011,,,
0.36000001,0.31200001,9.8989506,0.0042625,0.0037125,0.00165,,,
0.36900002,0.32895002,9.8700008,-0.0020625,0.0022,-0.0011,,,
0.46800002,0.38595003,9.9060001,0.0006875,0.00055,0.00055,,,
0.37905002,0.24705002,9.9010506,-0.003025,0.003575,0.0031625,,,
6.9750004,3.8770502,7.1310005,0.29438749,-0.155375,-0.0037125,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
5.8690505,4.1950502,5.2969503,0.171325,0.000275,-0.004675,,,
